Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Tenés gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especialización,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a enero 2018,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación lo que va del año?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,GBA,Menos de un año,Menos de un año,0,Universitario,En curso,Ingenieria Informatica,No,Developer,,"HTML, Javascript, jQuery, PHP",,,,,No,0,Bruto,Part-Time,13300,Bruto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles
Hombre,21 - 23,GBA,1,1,0,Universitario,En curso,Licenciatura en Sistemas ,No,HelpDesk,,,,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,13300,Neto,1,1,No,No recibo bono,Uno,10,1001-2000,No,No cambié de empresa,Ninguna de las anteriores
Mujer,27 - 30,Mendoza,7,4,0,Universitario,Completado,Redes y Telecomunicaciones,"Sí, de forma particular",Administrador de Red,,,,,,,,,,Part-Time,13500,Neto,1,1,No,No recibo bono,Uno,0.3,101-200,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,Ingenieria en Sistemas de Informacion,No,Developer,,"CSS, HTML, Javascript, Ruby, Rails, ReactJs y AngularJs",,,,,No,0,Porcentaje de mi sueldo,Part-Time,13536,Neto,1,1,No,No recibo bono,Uno,12,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Licencia de paternidad/maternidad extendida, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,0,Universitario,En curso,Ingenieria en Informatica,No,Developer,,Java,,,,,No,0,Bruto,Part-Time,13700,Bruto,2,2,De uno a tres sueldos,Mix de las anteriores,Uno,10,2001-5000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,2,2,0,Universitario,En curso,Ingeniería en Sistemas,"Sí, de forma particular",Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Freelance,14000,Neto,2,3,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,Ninguna de las anteriores
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,6,Menos de un año,26,Terciario,Completado,Profesora del nivel primario ,"Sí, de forma particular",Docencia,,,,,,,,,,Part-Time,14000,Bruto,2,1,No,No recibo bono,Más de dos,20,2001-5000,No,No cambié de empresa,Ninguna de las anteriores
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,0,Universitario,En curso,Abogacia,No,Costumer Care,,,,,,,,,,Part-Time,14000,Bruto,1,1,No,No recibo bono,Más de dos,50,101-200,Sí,Estaba desempleada,Horarios flexibles
Hombre,27 - 30,Provincia de Buenos Aires,3,1,2,Universitario,En curso,Licenciatura en Ciencias de la Computacion,No,Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,14000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Provincia de Buenos Aires,1,Menos de un año,0,Universitario,En curso,Licenciatura en informática ,"Sí, de forma particular",HelpDesk,,,,,,,No,0,Bruto,Freelance,14000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos, Viáticos"
