Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Nivel de estudios alcanzado,Estado,Carrera,Realizaste cursos de especializacion,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a julio 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio
Mujer,31 - 33,GBA,4,4,No,0,Universitario,Completado,Comunicacion audiovisual,"Si, de forma particular",Designer,Full-Time,5000,263,Bruto,500,,,,,,,2,2,No,No recibo bono,Uno,0,No,No cambie de empresa
Hombre,18 - 20,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Secundario,Completado,,No,Tecnico instalador,Tercerizado (trabajo a traves de consultora o agencia),5500,290,Neto,10,,,,,,,2,2,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa
Hombre,50+,Ciudad Autonoma de Buenos Aires,10+,Menos de un ano,No,0,Universitario,Incompleto,Abogado,"Si, de forma particular",Developer,Freelance,6000,316,Neto,10,,"HTML, Javascript",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,GBA,8,3,Si,8,Secundario,Completado,Bachiller contable,"Si, de forma particular","Newton, Sab",Full-Time,6000,316,Bruto,2000,,,,,,,1,1,No,No recibo bono,No,15,No,No cambie de empresa
Hombre,21 - 23,Cordoba,5,3,No,0,Terciario,Completado,Tecnicatura Superior en Desarrollo de Software,"Si, de forma particular",HelpDesk,Part-Time,6000,316,Neto,50,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,27 - 30,Tucuman,5,Menos de un ano,Si,0,Secundario,Incompleto,Albanil,No,Storage / Backup,Full-Time,6000,316,Neto,10,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Provincia de Buenos Aires,5,5,Si,3,Terciario,Completado,Tecnico Superior en Conputacion con orientacion administrativa,"Si, de forma particular",Tecnico en reparqcion y programador,Part-Time,6000,316,Neto,10,,,,,,,2,2,Menos de un sueldo,Performance individual,Uno,9,No,No cambie de empresa
Hombre,21 - 23,GBA,4,1,No,0,Secundario,Incompleto,,"Si, de forma particular",Developer,Part-Time,6000,316,Neto,10,,"HTML, Javascript, NodeJS, PHP, Python, Elixir, Ionic, React Native, NativeScript",,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Chubut,3,2,No,0,Terciario,Completado,"Tecnicatura superior en produccion multimedial, tecnico en informatica profesional y personal(escuela)","Si, de forma particular",Asistente tecnico,Part-Time,6000,316,Neto,500,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,1,1,No,0,Universitario,En curso,Ingenieria en sistemas,"Si, de forma particular",Developer,Part-Time,6000,316,Neto,50,,Delphi,,,,,2,2,Menos de un sueldo,Performance grupal,No,0,No,No cambie de empresa
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1,Menos de un ano,Si,1,Terciario,En curso,Ingenieria electronica,"Si, de forma particular",HelpDesk,Part-Time,6000,316,Bruto,10,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,41 - 45,San Luis,Menos de un ano,Menos de un ano,No,0,Terciario,Incompleto,Auxiliar en odontologia,"No, Si, los pago un empleador",PM,Tercerizado (trabajo a traves de consultora o agencia),6000,316,Neto,10,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa
Mujer,50+,Provincia de Buenos Aires,10+,10+,No,0,Universitario,Incompleto,Ingenieria en Sistemas de Informacion,"Si, de forma particular",Designer,Part-Time,6000,316,Neto,50,,,,,,,2,1,No,No recibo bono,Uno,21,No,No cambie de empresa
Mujer,37 - 40,Santiago del Estero,10+,10+,No,0,Universitario,Completado,Comunicacion Social,"Si, de forma particular",Networking,Freelance,6000,316,Neto,10,,,,,,,1,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,21 - 23,Mendoza,Menos de un ano,Menos de un ano,No,0,Terciario,En curso,Analistas y programador de sistemas,"Si, de forma particular",Developer,Full-Time,6200,327,Neto,10,,"CSS, HTML, Java, Javascript",,,,,1,1,Menos de un sueldo,Bono fin de ano,Uno,17,No,No cambie de empresa
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria en Sistemas,No,HelpDesk,Part-Time,6800,358,Neto,10,,,,,,,3,3,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,31 - 33,Mendoza,6,1,No,0,Universitario,En curso,Ingenieria en Electronica,No,SysAdmin / DevOps,Part-Time,6900,364,Neto,500,Linux,Python,,,,,1,2,No,No recibo bono,No,0,No,No cambie de empresa
Hombre,24 - 26,Santa Fe,Menos de un ano,Menos de un ano,No,0,Universitario,En curso,Ingenieria electromecanica,No,Designer,Part-Time,7000,369,Neto,50,,,,,,,3,3,No,No recibo bono,Uno,21,No,No cambie de empresa
