Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Gente a cargo,Cuanta,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Julio 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2016,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,41 - 45,Provincia de Buenos Aires,10+,10+,DBA,Part-Time,4000,249,Bruto,1000,No,0,Windows,,,,,No,6000,Bruto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,Menos de 18 anos,Santa Fe,Menos de un ano,Menos de un ano,DBA,Part-Time,4000,249,Neto,100,Si,5,"*BSD, Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,4,3,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,Menos de 18 anos,Santa Fe,Menos de un ano,Menos de un ano,DBA,Part-Time,4000,249,Neto,100,Si,5,"*BSD, Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,4,3,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,24 - 26,Formosa,3,2,DBA,Freelance,4000,249,Neto,10,No,0,Windows,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,2,2,Menos de un sueldo,fin de ano,No,0,No,No cambie de empresa,WFH (Trabajar desde casa)
Hombre,24 - 26,Santiago del Estero,3,2,Designer,Part-Time,4000,249,Neto,10,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santa Fe,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,4000,249,Neto,10,No,0,Windows,,,,,No,0,Bruto,1,1,No,No recibo bono,No,0,Si,Desafios profesionales,Ninguna de las anteriores
Hombre,18 - 20,Salta,5,1,HelpDesk,Part-Time,4000,249,Neto,50,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Horarios flexibles, Me pagan TIDAL HiFi"
Hombre,21 - 23,Corrientes,1,2,Storage / Backup,Freelance,4000,249,Neto,50,No,0,Windows,,,,,No,0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Mujer,34 - 36,La Pampa,9,9,Developer,Tercerizado (trabajo a traves de consultora o agencia),4000,249,Neto,10,No,0,Solaris,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,21 - 23,Ciudad Autonoma de Buenos Aires,4,1,Storage / Backup,Part-Time,4000,249,Neto,1001,No,0,"HP-UX, Linux, Windows, Amazon Web Services, Docker / Containers, Muchas mas",,,,,No,0,Porcentaje de mi sueldo,2,1,Menos de un sueldo,Performance individual,Uno,15,Si,Reduccion de personal,"Bonos por desempeno, Ninguna de las anteriores"
Hombre,27 - 30,GBA,10+,3,Developer,Tercerizado (trabajo a traves de consultora o agencia),4155,258,Bruto,10,No,0,"*BSD, Linux",,,,,No,0,Bruto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,21 - 23,GBA,3,2,Networking,Part-Time,4150,258,Neto,10,Si,2,"Linux, Windows",,,,,"Si, pasiva",1000,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, WFH (Trabajar desde casa)"
Hombre,24 - 26,Santa Fe,Menos de un ano,Menos de un ano,DBA,Part-Time,4200,261,Neto,10,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Santa Fe,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,4262,265,Neto,10,No,0,"Linux, Windows",,,,,No,0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Mujer,24 - 26,Santa Fe,2,2,QA / Tester,Part-Time,4300,267,Neto,50,No,0,"Linux, Windows",,,,,No,0,Bruto,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Salta,2,Menos de un ano,DBA,Part-Time,4500,280,Bruto,10,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,GBA,5,5,SysAdmin / DevOps,Part-Time,4500,280,Bruto,10,No,0,Windows,,,,,No,0,Bruto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Bonos por desempeno
Hombre,24 - 26,GBA,4,Menos de un ano,Soporte,Part-Time,4500,280,Bruto,1001,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,Mayor comodidad,Ninguna de las anteriores
Hombre,27 - 30,Corrientes,1,Menos de un ano,Designer,Part-Time,4500,280,Neto,10,No,0,AIX,,,,,No,0,Bruto,3,3,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Mendoza,7,7,HelpDesk,Part-Time,4522,281,Neto,50,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,1,2,No,No recibo bono,Dos,12,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,4800,298,Neto,100,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,3,4,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,34 - 36,La Rioja,10+,1,QA / Tester,Part-Time,4800,298,Neto,100,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,Mas de dos,30,No,No cambie de empresa,Comidas pagas/subvencionadas
Hombre,34 - 36,Cordoba,10+,10+,Designer,Freelance,5000,311,Bruto,10,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santa Fe,1,Menos de un ano,Developer,Part-Time,5000,311,Bruto,10,No,0,"Linux, Windows, .net",,,,,No,0,Neto,2,2,No,No recibo bono,No,0,Si,Mayor comodidad,Ninguna de las anteriores
Hombre,21 - 23,Cordoba,Menos de un ano,Menos de un ano,HelpDesk,Part-Time,5000,311,Bruto,10,Si,300,Windows,,,,,No,0,Neto,4,4,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Descuentos en gimnasios"
Hombre,27 - 30,Santa Fe,10+,10+,IT,Full-Time,5000,311,Bruto,10,No,0,"Linux, Windows, Amazon Web Services, VMWare",,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Chaco,5,3,Designer,Part-Time,5000,311,Bruto,1001,No,0,"Linux, Windows",,,,,"Si, pasiva",0,Bruto,1,2,Un sueldo,Mix de las anteriores,Mas de dos,45,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,Mendoza,2,2,Networking,Full-Time,5000,311,Neto,100,No,0,"Linux, Windows",,,,,No,0,Neto,3,2,Un sueldo,No recibo bono,Uno,15,No,No cambie de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Cuota para universidad"
Hombre,27 - 30,Corrientes,8,7,SysAdmin / DevOps,Part-Time,5000,311,Neto,100,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Mas de dos,40,No,No cambie de empresa,Aumento por inflacion
Hombre,27 - 30,Santiago del Estero,3,5,Designer,Part-Time,5000,311,Neto,10,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,2,3,Un sueldo,Performance individual,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas"
Hombre,34 - 36,GBA,10+,10+,Networking,Freelance,5000,311,Neto,10,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Jujuy,2,1,Reparacion,Part-Time,5000,311,Neto,10,No,0,"Linux, Windows",,,,,No,0,Neto,2,1,No,No recibo bono,No,0,No,Salario,Ninguna de las anteriores
Hombre,31 - 33,San Luis,10+,Menos de un ano,QA / Tester,Part-Time,5000,311,Neto,1001,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,Si,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,San Juan,2,2,Networking,Part-Time,5000,311,Neto,50,No,0,"Windows, VMWare, winbox",,,,,"Si, pasiva",0,Porcentaje de mi sueldo,1,2,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,8,5,PM,Freelance,5000,311,Neto,50,Si,2,"Linux, Amazon Web Services, Azure",,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,35,No,No cambie de empresa,WFH (Trabajar desde casa)
Mujer,24 - 26,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Designer,Part-Time,5000,311,Bruto,10,No,0,Nibguna,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Mujer,37 - 40,Rio Negro,10+,5,docente,Part-Time,5000,311,Neto,50,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,Mas de dos,90,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,GBA,2,1,SysAdmin / DevOps,Full-Time,5100,317,Neto,200,No,0,"Linux, Windows, VMWare",,,,,"Si, pasiva",0,Neto,2,3,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,21 - 23,GBA,5,5,HelpDesk,Part-Time,5300,330,Neto,200,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,3,2,No,No recibo bono,Dos,26,No,No cambie de empresa,Aumento por inflacion
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,5335,332,Neto,50,No,0,Windows,,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,18 - 20,Santa Fe,Menos de un ano,Menos de un ano,Developer,Full-Time,5400,336,Neto,50,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos
Mujer,24 - 26,Cordoba,Menos de un ano,1,HelpDesk,Tercerizado (trabajo a traves de consultora o agencia),5400,336,Neto,500,No,0,Windows,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,"Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc)"
Hombre,31 - 33,Misiones,9,Menos de un ano,Developer,Full-Time,5430,338,Neto,1001,No,0,"Linux, Windows",,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,21 - 23,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Part-Time,5500,342,Neto,50,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,4,4,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos, Clases de idiomas"
Hombre,24 - 26,Santa Fe,2,2,SysAdmin / DevOps,Part-Time,5600,348,Neto,100,No,0,"Linux, Windows",,,,,No,0,Porcentaje de mi sueldo,2,2,De uno a tres sueldos,Mix de las anteriores,Dos,5,No,No cambie de empresa,Ninguna de las anteriores
