Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Gente a cargo,Cuanta,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2017,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion en 2017,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Mujer,37 - 40,Ciudad Autonoma de Buenos Aires,10+,1,No,0,Analista BI,Full-Time,46000,2736,Bruto,1001,,,,,,,,,,3,3,No,No recibo bono,Uno,5,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,2,Menos de un ano,No,0,Analista BI,Full-Time,38000,2260,Bruto,1001,,,,,,,,,,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,17,No,No cambie de empresa,"Bonos por desempeno, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Playroom, Snacks, golosinas, bebidas"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3,2,No,0,Analista BI,Full-Time,19000,1130,Neto,500,,,,,,,,,,2,1,No,No recibo bono,Uno,14,No,No cambie de empresa,"Aumento por inflacion, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios"
Hombre,21 - 23,GBA,4,1,No,0,Analista BI,Full-Time,27000,1606,Neto,1001,,,,,,,,,,3,3,Menos de un sueldo,Mix de las anteriores,Uno,20,No,No cambie de empresa,"Bonos por desempeno, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Masajes, Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autonoma de Buenos Aires,10+,1,No,0,Analista Database,Full-Time,30000,1784,Bruto,1000,,,,,,,,,,2,2,No,No recibo bono,No,0,Si,Cambio de Ciudad,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc)"
Hombre,41 - 45,Cordoba,5,5,No,0,Analista de bd,Full-Time,23000,1368,Neto,1001,,,,,,,,,,3,3,No,No recibo bono,Dos,21,No,No cambie de empresa,"Aumento por inflacion, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,5,1,Si,5,Analista de Infraestructura,Full-Time,22700,1350,Neto,100,,,,,,,,,,2,3,No,No recibo bono,Uno,10,No,No cambie de empresa,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,6,Menos de un ano,No,0,Analista de Producto,Full-Time,46000,2736,Bruto,1001,,,,,,,,,,4,4,No,No recibo bono,No,0,Si,Desafios profesionales,"Abono de celular y/o Internet, Aumento por inflacion, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Cuota para universidad, Descuentos en gimnasios, Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc), Laptop, Masajes, Snacks, golosinas, bebidas, Viajes al exterior, Viaticos, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8,3,No,0,Analista de Seguridad,Full-Time,19000,1130,Neto,500,,,,,,,,,,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Descuentos en gimnasios
Hombre,27 - 30,Santa Fe,4,4,No,0,Analista de sistemas,Full-Time,23000,1368,Neto,10,,,,,,,,,,2,2,No,Performance de la compania,Uno,4,No,No cambie de empresa,"Ninguna de las anteriores, Seguro de auto y prepaga "
Mujer,27 - 30,Ciudad Autonoma de Buenos Aires,5,3,Si,4,Analista en procesos,Freelance,45000,2676,Bruto,1000,,,,,,,,,,3,2,No,No recibo bono,Uno,30,No,No cambie de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,10+,5,No,0,Analista en sistemas,Full-Time,27000,1606,Neto,1000,,,,,,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas"
Hombre,46 - 49,Ciudad Autonoma de Buenos Aires,10+,10+,No,0,Analista Funcional,Full-Time,40000,2379,Neto,1000,,,,,,,,,,2,2,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,46 - 49,Ciudad Autonoma de Buenos Aires,10+,1,No,0,Analista funcional,Full-Time,40000,2379,Bruto,1001,,,,,,,,,,2,2,Un sueldo,Aguinaldo,No,0,Si,Mayor comodidad,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
